Property,Trait,Weight
Species,Human,1300
Species,Elf,400
Species,Dwarf,400
Species,Gnome,400
Species,Hobbit,400
Species,Goblin,400
Species,Orc,400
Species,Giant,400
Species,Undead,400
Species,Lycan,140
Species,Ent,140
Species,Nymph,140
Species,Dragonkin,20
Species,Fae,20
Species,Vampire,20
Species,Catfolk,20
Species,Merfolk,140
Species,Lizardfolk,20
Species,Satyr,20
Species,Demon,5
Species,Centaur,140
Species,Angel,5
Species,Ghoul,140
Species,Shapeshifter,5
Species,Extraterrestrial,5
Species,Druid,400
Species,Titan,140
Species,Cyclops,20
Species,Cryptid,5
Pronoun,He/Him,475
Pronoun,She/Her,482
Pronoun,They/Them,43
Romance,Straight,600
Romance,Gay,300
Romance,Bisexual,90
Romance,Asexual,10
Romance,Pansexual,10
Romance,Demisexual,10
Romance,Sapiosexual,10
Romance,Fluid,10
Romance,Curious,10
Romance,Questioning,10
God,Elohim,25
God,Set,300
God,Ra,300
God,Amaterasu,200
God,Vishnu,200
God,Anubis,100
God,Jupiter,5
God,Neptune,140
God,Demeter,10
God,Dionysis,300
God,Osiris,25
God,Atheist,650
God,Agnostic,650
God,Science,300
God,Ebisu,150
God,Ares,125
God,Athena,125
God,Apollo,125
God,Bhrama,5
God,Shiva,20
God,Ganesh,100
God,Lakshmi,100
God,Uruk,100
God,Gilgamesh,5
God,Ahura Mazda,250
God,Bast,25
God,Fujin,50
God,Raijin,50
God,Inari Okami,150
God,Izanagi,250
God,Izanami,120
God,Kali,55
God,Hanuman,35
God,Xolotl,5
God,Tlaloc,25
God,Tonatiuh,35
God,Gaia,75
God,Chaos,25
God,Kronos,25
God,Rhea,30
God,Hyperion,75
God,Mercury,25
God,Venus,250
God,Nike,150
God,Pluto,75
God,Xyto!chit,650
God,Sto'chresta,500
God,Artulachan,450
God,Jedoh,400
God,Ya'ast Arisen,300
God,The Blind One,250
God,Grendarc,225
God,Holy Sentcha,175
God,Ezeriel,150
God,Saint Oshewa,100
God,The Unknowable,75
God,Drosk,25
Caste,Emporer,10
Caste,Caesar,10
Caste,Sultan,10
Caste,Pharoah,20
Caste,Duke,50
Caste,Brahmin,50
Caste,Scholar,55
Caste,Khan,10
Caste,Warrior,650
Caste,Farmer,1500
Caste,Samurai,550
Caste,Craftsman,700
Caste,Shudra,1500
Caste,Shaman,550
Caste,Baron,50
Caste,Shogun,50
Caste,Commoner,3000
Caste,Slave,1500
Caste,Peasant,3000
Caste,Artisan,800
Caste,Merchant,700
Caste,Clergy,1000
Caste,Soldier,1500
Caste,Knight,650
Caste,Bureaucrat,550
Caste,Lord,250
Caste,Monarch,50
Caste,Kitchen Wench,5
Weapon,Longsword,300
Weapon,Rapier,300
Weapon,Scythe,300
Weapon,Longbow,225
Weapon,Shortbow,225
Weapon,Dagger,300
Weapon,Knife,300
Weapon,Greatsword,300
Weapon,Halbert,300
Weapon,Spear,300
Weapon,Flail,300
Weapon,Club,200
Weapon,Hammer,200
Weapon,Ax,200
Weapon,Scimitar,300
Weapon,Katana,50
Weapon,Sabre,300
Weapon,Claymore,300
Weapon,Falchion,300
Weapon,Cutlass,300
Weapon,Gauntlet,50
Weapon,Fan,75
Weapon,Sickle,150
Weapon,Hatchet,150
Weapon,Tomahawk,100
Weapon,Crossbow,225
Weapon,Trident,50
Weapon,Glaive,50
Weapon,Kunai,150
Weapon,Shuriken,150
Weapon,Senbon,75
Weapon,Javelin,75
Weapon,Boomerang,50
Weapon,Musket,125
Weapon,Sling,50
Weapon,Whip,75
Weapon,Staff,200
Weapon,Mace,200
Weapon,Nunchucks,50
Weapon,Frying Pan,25
Weapon,Lightning,75
Weapon,Charisma,50
Weapon,Sorcery,125
Weapon,Witchcraft,125
Weapon,Blade,300
Weapon,Bow,225
Weapon,Blunt,200
Weapon,Fist,150
Weapon,Magic,125
Weapon,Poison,75
Weapon,Flame,75
Weapon,Cunning,50
Weapon,Influence,50
Weapon,Holy Relic,50
Hobby,Poker,425
Hobby,Fencing,150
Hobby,Martial Arts,150
Hobby,Dancing,300
Hobby,Acting,150
Hobby,Pottery,150
Hobby,Cooking,200
Hobby,Singing,150
Hobby,Playing an Instrument,150
Hobby,Painting,150
Hobby,Drawing,225
Hobby,Poetry,250
Hobby,Writing,200
Hobby,Reading,50
Hobby,Potions,50
Hobby,Botany,50
Hobby,Chemistry,75
Hobby,Medicine,75
Hobby,Inventing,50
Hobby,Gathering,25
Hobby,Hiking,200
Hobby,Smoking,350
Hobby,Bar-Fights,50
Hobby,Zen Gardening,50
Hobby,Terrariums,50
Hobby,Philosophying,50
Hobby,Drink,425
Hobby,Dice,400
Hobby,Cards,375
Hobby,Brothel,350
Hobby,Romance,300
Hobby,Sport,250
Hobby,Hunt,225
Hobby,Prayer,200
Hobby,Duel,175
Hobby,Song,75
Hobby,Dance,55
Hobby,Brush,50
Hobby,Rhyme,45
Hobby,Theater,30
Hobby,Letter,25
Hobby,Quill,20
Hobby,Astronomy,50
Hobby,Seance,25
Hobby,Puppetry,25
